location;name
RRD01;Dipòsit Riudoms
RRD02;Dipòsit Maspujols
RRD03;Dipòsit Cargill
RRD04;Dipòsit Pere Mata
RRD05;Dipòsit Riudoms Polígon Industrial
RRD06;Dipòsit Vinyols nucli
RRD07;(OBSOLET) Dipòsit Parc Samà
RRD08;Dipòsit Montbrió
RRD09;Dipòsit regulador Les Borges del Camp
RRD12;Dipòsit Reus Intermedi
RRD13;Dipòsit Botarell
RROIG;Raul Roig
RRS01;Secc. 1847 abans de creuar riera Maspujols
RRT01;Terciària Riudoms
RRT02;Terciària Maspujols
RRT03;Terciària Reus 2
RRT04;Terciària Cargill
RRT05;Terciària Pere Mata EB-12
RRT06;Terciària Riudoms Polígon Industrial
RRT07;Terciària Vinyols-Montbrió
RRT71;Subterciària Vinyols nucli
RRT72;Subterciària Cambrils Parc Samà
RRT73;Subterciària Botarell
RS01A;Tram entre RSB12-RST01
RS01B;Tram entre RST01-RST02
RS01C;Tram entre RST02-RST03
RS01D;Tram entre RST03-RST04
RS02A;Tram entre RST04-RST21
RS02B;Tram entre RST21-RSD01
RS02C;Tram entre RST21-RST22
RS02D;Tram entre RST22-RSD02
RS02E;Tram entre RST22-RSD03
RS03A;Tram entre RST02-RSD04
RS04A;Tram entre RST03-RSD05
RS05A;Tram entre RST04-RSD06
RS06A;Tram entre RST04-RSD07
RS06B;Tram entre RST61-RSD08
RS07A;Tram entre RST04-RSD09
RSB12;Estació Bombament Reus-Pere Mata  EB-12
RSC01;Consum Albiol, cubes
RSD01;Dipòsit Castellvell 1
RSD02;Dipòsit Castellvell 2
RSD03;Dipòsit Regulador Castellvell 3
RSD04;Dipòsit Almoster
RSD05;Dipòsit La Pubilla
RSD06;Dipòsit La Selva del Camp
RSD07;Dipòsit Masies Catalanes-Albiol
RSD08;Dipòsit Masies Catalanes-Alcover
RSD09;Dipòsit La Selva del Camp nou
RSS01;Secc. 27524 final 1r desdoblament
RSS02;Secc. 2331 inici 2n desdoblament
RSS03;Secc. 2289 final 2n desdoblament
RSS04;Secc. 2302 inici 3r desdoblament
RSS05;Secc. 2468 final 3r desdoblament
RSS06;Secc. 2380 antiga a la carretera
RSS21;Secc. 2332 ramal Castellvell derivació Castellvell-1
RSS22;Secc. 2287 Subseccionament Castellvell
RSS61;Secc. 26931 ramal La Selva passat polígon industrial
RST01;Terciària Castellvell
RST02;Terciària Almoster
RST03;Terciària La Pubilla
RST04;Terciària La Selva / Masies Catalanes
RST21;Subterciària Castellvell 1
RST22;Subterciària Castellvell 2-3
RST61;Subterciària Masies Catalanes-Alcover
SALOU;Salou
SC01A;Tram entre SCB03-SCT01
SC01B;Tram entre SCT01-SCT02
SC01C;Tram entre SCT02-SCT03
SC01D;Tram entre SCT03-SCT04
SC01E;Tram entre SCT04-SCD01
SC02A;Tram entre SCT02-SCD02
SC03A;Tram entre SCT03-SCD03
SC04A;Tram entre SCT04-SCD04
SCB03;Estació Bombament Central EB-3
SCB21;Estació Bombament Central EB-3 (bis)
SCD01;Dipòsits Reguladors Cota 118
SCD02;Dipòsit Riu Clar (fora de servei)
SCD03;Dipòsit Sant Salvador
SCD04;Dipòsit Sant Pere i Sant Pau
SCT01;Terciària Ramal Constantí-Repsol
SCT02;Terciària Riu Clar
SCT03;Terciària Sant Salvador
SCT04;Terciària Sant Pere i Sant Pau
SIAUT;Autoritzacions
SIBAK;Backups i Restauracions
SID3D;Disseny 3D
SIFOR;Formació
SILAN;Xarxa informàtica
SIMAQ;Maquetacions
SIORD;Ordinadors
SIOTH;Altres
SIPER;Perifèrics
SIPPT;Presentacions
SIPRM;Permisos i usuaris
SIREU;Preparar reunió
SISCT;Videowall / electrònica de Sala de Control
SISFT;Software (Programari)
SISRV;Servidors
SITLF;Telefonia
SIVID;Videovigilància
SSIMO;Sandra Simó
TR010;Tram Aigua Crua
TR011;Tram 1 Aigua Crua: EB-0 a Secc. Mas de la Misa
TR012;Tram 2 Aigua Crua: Secc. Mas de la Misa a Secc. Deltatres
TR013;Tram 3 Aigua Crua: Secc. Deltatres a ETAP
TR020;Tram de Procés
TR030;Tram de Precloració
TR040;Tram Fangs a riu
TR041;Fangs a riu: Caseta Marge esquerre
TR042;Fangs a riu: Caseta riu
TR043;Fangs a riu: Caseta marge dret
TRS01;Secc. Mas de la misa
TRS02;Secc. Deltatres aigua crua
VALLS;Valls
VC01A;Tram entre VCB18-VCD01
VC02A;Tram entre VCT01-VCD02
VCB18;Estació Bombament Valls EB-18
VCD01;Dipòsit Regulador Cabra del Camp
VCD02;Dipòsit Pla de Sta Maria
VCT01;Terciària Ramal Pla de Sta Maria
VV01A;Tram entre VVB14-VVT01
VV01B;Tram entre VVT01-VVT02
VV01C;Tram entre VVT02-VVT03
VV01D;Tram entre VVT03-VVT04
VV01E;(OBSOLET) Tram entre VVT04-VVT05 (NOU VV08A)
VV01F;(OBSOLET) Tram entre VVT05-VVT06 (NOU VV08B)
VV01G;(OBSOLET) Tram entre VVT06-VVT07 (NOU VV08C)
VV01H;Tram entre VVT04-VVT07
VV01I;Tram entre VVT07-VCB18
VV02A;Tram entre VVT01-VVD01
VV03A;Tram entre VVT03-VVD02
VV04A;Tram entre VVT06-VVD03
VV05A;Tram entre VCB18-VVD04
VV06A;Tram entre VCB18-VVD05
VV07A;Tram entre VVT10-VVD06
VV08A;Tram entre VVT04-VVT05
VV08B;Tram entre VVT05-VVT06
VV08C;Tram entre VVT06-VVT07
VVB14;Estació Bombament Vallmoll  EB-14
VVD01;Dipòsit Polígon Industrial de Vallmoll-Cota 190
VVD02;Dipòsit Urbanització Els Pinars (Vallmoll)
VVD03;Dipòsit SCA
VVD04;Dipòsit Palau Reig (Valls)
VVD05;Dipòsit Municipal Valls
VVD06;Dipòsit Puigpelat-2
VVS01;Secc. 6941 PK 0+900
VVS02;Secc. 6974 Xiquets de Valls
VVT01;Terciària Polígon Industrial de Vallmoll
VVT02;Terciària Urb. Plana de Sant Miquel (Vallmoll)
VVT03;Terciària Urbanització Els Pinars (Vallmoll)
VVT04;Terciària inici desdoblament Alt Camp
VVT05;Terciària Puigpelat 1 (futura)
VVT06;Terciària SCA
VVT07;Terciària Final desdoblament Alt Camp
VVT08;Futura Terciària Xiquets de Valls
VVT09;(OBSOLET) Futura Terciària P.I. Nulles
VVT10;Terciària Puigpelat 2
XARXA;Vigilància de Xarxa
XT010;Jardineria
XT020;Tanques/...
XT030;Vials
XT040;Enllumenat
XT050;Caseta guarda
XT060;CAMPA
XT070;Seguretat perimetral Central
