location;name
CCB05;Estació Bombament Vendrell EB-5
CCB15;Estació Bombament La Granja EB-15
CCD01;Dipòsit El Vendrell Romaní 2
CCD02;Dipòsit El Vendrell Romaní 1
CCD03;Dipòsit Masia La Font
CCD04;Dipòsit Bellamar
CCD05;Dipòsit Mas Mel
CCD06;Dipòsit Calafell 2
CCD07;Dipòsit La Granja
CCD08;Dipòsit Cunit 3
CCD09;Dipòsit Cunit 2
CCD10;Dipòsit Antiariet Romaní
CCD11;Dipòsit regulador Cunit-Nord
CCS01;Secc. 3182 carretera Sant Salvador
CCS02;Secc. 27521 inici Desdoblament Calafell-Cunit
CCS03;Secc. 9909 anterior Bellamar Calafell Slide
CCS04;Secc. 27522 fi Desdoblament Calafell-Cunit
CCS31;Secc. 26929 ramal Masia la Font
CCT01;Terciària Ramal Romaní i arqueta antiariet
CCT02;Terciària Masia La Font
CCT03;Terciària Bellamar
CCT04;Terciària Mas Mel
CCT05;Terciària Calafell 2
CCT06;Terciària EB-Segur de Calafell
CCT07;Terciària Cunit 3
CCT08;Terciària Cunit 2
CCT09;Terciària EB-19
CCT10;Terciària Antiariet Romaní
CCT11;Terciària Cunit-Nord
CCT21;Subterciària Romaní 2
CCT31;Subterciària Ramal Baix Penedès
CL01A;Tram entre CCT06-CLB06
CL01B;Tram entre CLB06-CLT01
CL01C;Tram entre CLT01-CLT02
CL01D;Tram entre CLT02-CLB23
CL01E;Tram entre CLB23-CLT03
CL02A;Tram entre CLB17-CLD01
CL03A;Tram entre CLT01-CLD02
CL04A;Tram entre CLT02-CLD03
CL05A;Tram entre CLT03-CLD04
CL06A;Tram entre CLT03-CLD05
CL07A;Tram entre CLT04-CLD07
CLB06;Estació Bombament Segur de Calafell EB-6
CLB17;Estació Bombament Segur de Calafell EB-17
CLB23;Estació Bombament Les Brises de Calafell EB-23
CLD01;Dipòsit Calafell 5
CLD02;Dipòsit Cunit 1
CLD03;Dipòsit Calafell Les Brises
CLD04;Dipòsit Calafell Parc
CLD05;Dipòsit de l´Arboç
CLD06;Dipòsit Calafell 3
CLD07;Dipòsit Regulador Calafell - Les Brises
CLT01;Terciària Cunit 1 i Calafell Les Brises
CLT02;Terciària dipòsit Calafell Les Brises
CLT03;Terciària dipòsit Calafell Parc
CLT04;Terciària Ramal Dip. Reg. Calafell - Les Brises
CP000;(OBSOLET) 942 Ebro en Flix (ACA)_CANVI A RE030
CP010;Marge Dret
CP020;Marge Esquerre
CP030;Obra de presa EB-0
CP040;Instal·lacions auxiliars
CPB00;Estació Bombament Campredó EB-0
CR01A;Tram entre SCT01-CRT01
CR01B;Tram entre CRT01-CRT02
CR01C;Tram entre CRT02-CRT03
CR01D;Tram entre CRT03-CRT04
CR01E;(OBSOLET) Tram entre CRD03-CRT04
CR02A;Tram entre CRT01-CRD01
CR03A;Tram entre CRT02-CRD02
CR04A;Tram entre CRT04-CRD03
CRD01;Dipòsit PIC
CRD02;Dipòsit Constantí
CRD03;Dipòsit Repsol Petroleo
CRS01;Secc. 4713 Foster Wheeler
CRT01;Terciària PIC
CRT02;Terciària Constantí
CRT03;Terciària EB-13
CRT04;Terciària Repsol Petroli/Anell Tancament
CRUIZ;Carlos Ruiz
CUNIT;Cunit
EM01A;Tram PAT12 (EB-1) - EMT01 (Deltatres)
EM01B;Tram EMT01 (Deltatres) - EMT02 (Mercaderies)
EM01C;Tram entre EMT02-EMT03
EM01D;Tram entre EMT03-EMT04
EM01E;Tram entre EMT04-EMT05
EM01F;Tram entre EMT05-EMT06
EM01G;Tram entre EMT06-EMT07
EM02A;Tram entre EMT01-EMD01
EM03A;Tram entre EMT02-EMD02
EM04A;Tram entre EMT03-EMD03
